size	fuzzy	unit	function
960	99.15	MSound/MSoundSE	startSoundActorInner__Q214MSoundSESystem8MSoundSEFUlPP8JAISoundP8JAIActorUlUc
952	99.99	Enemy/hanasambo	loadAfter__19TSamboFlowerManagerFv
952	99.81	GC2D/Guide	appearGuidePane__6TGuideFi
952	99.72	GC2D/PauseMenu2	appearWindow__11TPauseMenu2Fv
936	99.80	Animal/BeeHive	reset__8TBeeHiveFv
936	99.18	System/DrawSyncManager	insert__Q27JGadget116TVector<Q216TDrawSyncManager19TDrawSyncTokenRange,Q27JGadget53TAllocator<Q216TDrawSyncManager19TDrawSyncTokenRange>>FPQ216TDrawSyncManager19TDrawSyncTokenRangeUlRCQ216TDrawSyncManager19TDrawSyncTokenRange
932	99.98	JSystem/JAudio/JASystem/JASChannel	updatecallDSPChannel__Q28JASystem6DriverFPQ28JASystem11TDSPChannelUl
932	99.97	Animal/Bird	receiveMessage__11TAnimalBirdFP9THitActorUl
928	99.90	Enemy/BossHanachanMain	execSlip__13TBossHanachanFv
924	99.95	System/MSoundMainSide	init__7MSStageFUcUc
920	99.76	Enemy/Kumokun	calcRootMatrix__8TKumokunFv
920	99.10	Player/MarioDraw	considerWaist__6TMarioFv
916	99.67	GC2D/GCConsole2	pauseOut__11TGCConsole2Fv
912	99.90	Enemy/wireTrap	execute__24TNerveWireTrapOnewayMoveCFP24TSpineBase<10TLiveActor>
912	99.77	Enemy/TabePuku	execute__20TNerveTabePukuAttackCFP24TSpineBase<10TLiveActor>
908	99.93	Enemy/smallEnemy	init__11TSmallEnemyFP12TLiveManager
908	99.52	MoveBG/MapObjSirena	moveObject__7TClosetFv
904	99.96	Map/MapEventMare	movement__13TMareWallRockFv
904	99.96	Enemy/bosspakkun	execute__13TNerveBPHoverCFP24TSpineBase<10TLiveActor>
904	99.92	Enemy/fireWanwan	behaveToWater__11TFireWanwanFP9THitActor
896	99.89	System/EventWatcher	evWarpMario__FP32TSpcTypedInterp<13TEventWatcher>Ul
892	99.39	MoveBG/MapObjCorona	__ct__12TBathtubGripFP8TBathtubfP13MActorAnmDataPCc
888	99.73	GC2D/Option	initSurroundAnm__16TOptionSoundUnitFv
888	99.56	Enemy/koopajr	checkNerve__17TKoopaJrSubmarineFv
888	99.53	Enemy/fireWanwan	bindBody__11TFireWanwanFPQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
884	99.89	MoveBG/MapObjPinna	control__11TPinnaShellFv
876	99.68	JSystem/JParticle/JPADrawVisitor	exec__24JPADrawExecRotationCrossFPC14JPADrawContextP15JPABaseParticle
876	99.56	MoveBG/MapObjMonte	control__13TFluffManagerFv
872	99.92	MoveBG/MapObjPinna	moveObject__8TAmiKingFv
872	99.87	NPC/NpcNerve	execute__20TNerveNPCTurnToMarioCFP24TSpineBase<10TLiveActor>
872	99.67	Map/MapEventMare	rising__21TMareEventDepressWallFv
868	99.56	MarioUtil/DrawUtil	SetViewFrustumClipCheck__Fffffff
856	99.97	MSound/MSoundSE	__sinit_MSoundSE_cpp
856	99.97	Enemy/hinokuri2	calc__13THino2MtxCalcFUs
852	99.73	Camera/CameraDemo	updateDemoCamera___15CPolarSubCameraFb
848	99.55	Enemy/bosseel	perform__14TBossEelVortexFUlPQ26JDrama9TGraphics
844	99.92	Enemy/bosseel	execute__19TNerveBossEelAppearCFP24TSpineBase<10TLiveActor>
844	99.91	Enemy/conductor	genEnemyFromPollution__10TConductorFv
844	99.90	Strategic/ObjHitCheck	checkActorsHit__12TObjHitCheckFv
840	99.15	Enemy/Koopa	getDown__6TKoopaFv
836	99.97	Enemy/telesa	bind__7TTelesaFv
828	99.86	Enemy/bosswanwan	__ct__8TBWLeashFP11TBossWanwaniPCc
824	99.88	JSystem/JAudio/JASystem/JASTrack	noteOn__Q28JASystem6TTrackFUclll
