category	unit	fuzzy%	size	demangled	symbol	vaddr
game	mario/Enemy/rocket	91.71	236	TRocket::setDeadAnm()	setDeadAnm__7TRocketFv	2148577100
game	mario/Enemy/BossHanachanSub	91.80	980	TSphereLink::moveHead(const JGeometry::TVec3<float>&)	moveHead__11TSphereLinkFRCQ29JGeometry8TVec3<f>	2148454256
game	mario/MoveBG/MapObjMare	91.83	1364	TMuddyBoat::bind()	bind__10TMuddyBoatFv	2149417920
game	mario/Enemy/effectObj	91.95	312	TEffectColumWater::generate(JGeometry::TVec3<float>&, JGeometry::TVec3<float>&)	generate__17TEffectColumWaterFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>	2147709896
game	mario/Camera/cameralib	91.98	1836	CLBCalcNearNinePos(JGeometry::TVec3<float>*, S16Vec*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, short, float, const JGeometry::TVec2<float>&)	CLBCalcNearNinePos__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sfRCQ29JGeometry8TVec2<f>	2147644752
game	mario/GC2D/GCConsole2	92.11	2400	TGCConsole2::countShine()	countShine__11TGCConsole2Fv	2148825612
game	mario/Map/MapMakeData	92.11	612	TMapCollisionBase::setCheckData(const float*, const short*, TBGCheckData*, int)	setCheckData__17TMapCollisionBaseFPCfPCsP12TBGCheckDatai	2149128212
game	mario/Enemy/hinokuri2	92.35	500	Hino2HeadCallback(J3DNode*, int)	Hino2HeadCallback__FP7J3DNodei	2147867028
game	mario/Map/MapWire	92.43	664	TMapWire::setFootPointsAtHanged(float(*)[4])	setFootPointsAtHanged__8TMapWireFPA4_f	2149153468
game	mario/Enemy/igaiga	92.50	304	RollEnemyBodyCallback(J3DNode*, int)	RollEnemyBodyCallback__FP7J3DNodei	2148224212
game	mario/Enemy/Kumokun	92.52	1048	TKumokun::initAttachPlane()	initAttachPlane__8TKumokunFv	2148668560
game	mario/Animal/AnimalBase	92.54	824	TAnimalBase::perform(unsigned long, JDrama::TGraphics*)	perform__11TAnimalBaseFUlPQ26JDrama9TGraphics	2147518632
