unit	function	pct	size	retail_frame	our_frame	gap	stackrows
mario/Enemy/hauntLeg	THauntLeg::init(TLiveManager*)	99.956	364	0x78	0x78	0x0	4
mario/Enemy/hauntLeg	TNerveHauntLegHaunt::execute(TSpineBase<TLiveActor>*) const	99.963	756	0x80	0x80	0x0	7
mario/Enemy/wireTrap	TWireTrap::load(JSUMemoryInputStream&)	99.912	544	0xa8	0xa8	0x0	12
mario/Enemy/wireTrap	TNerveWireTrapReturnMove::execute(TSpineBase<TLiveActor>*) const	99.902	488	0x68	0x60	0x8	12
mario/Enemy/wireTrap	TNerveWireTrapOnewayMove::execute(TSpineBase<TLiveActor>*) const	99.904	912	0x88	0x80	0x8	22
mario/Enemy/rocket	TRocketManager::initSetEnemies()	99.944	356	0x90	0x90	0x0	5
mario/Enemy/rocket	TNerveRocketPossessedNozzle::execute(TSpineBase<TLiveActor>*) const	99.946	668	0xa0	0x40	0x60	9
mario/Enemy/bossManta	TBossManta::getIntoGraphVec(JGeometry::TVec3<float>*)	99.890	656	0x130	0x130	0x0	18
mario/Enemy/bossManta	TBossManta::moveObject()	99.975	480	0x60	0x60	0x0	3
mario/Enemy/bossManta	TBossManta::collidedWithWater()	99.914	1164	0xa0	0xa8	-0x8	25
mario/Enemy/bossManta	TBossManta::control()	99.921	604	0x178	0x178	0x0	12
mario/Enemy/bossManta	TBossMantaAdditionalCollisionSet::update(unsigned long, JDrama::TGraphics*)	99.808	480	0xf0	0x98	0x58	23
mario/Enemy/bossManta	TBossMantaManager::setupEfbAlpha(JDrama::TGraphics*)	99.954	692	0xd8	0xd8	0x0	8
mario/Enemy/wireBinder	TWireBinder::bind(TLiveActor*)	99.960	696	0x78	0x78	0x0	7
mario/Enemy/yunbo	TNerveYumboDancing::execute(TSpineBase<TLiveActor>*) const	99.977	688	0xb0	0xb0	0x0	4
mario/Enemy/koopajr	TKoopaJr::checkNerveKillerLaunchNormal()	99.949	548	0x28	0x38	-0x10	7
mario/Enemy/koopajr	TKoopaJr::checkNerveKillerLaunchFast()	99.949	548	0x28	0x38	-0x10	7
mario/Enemy/koopajr	TKoopaJrSubmarine::makeCollisionPositions()	99.800	220	0x80	0x48	0x38	11
mario/Enemy/koopajr	TKoopaJrSubmarine::bind()	99.885	244	0x40	0x40	0x0	7
mario/Enemy/koopajr	JGeometry::TUtil<float>::mod(float, float)	99.696	92	0x28	0x20	0x8	7
mario/Enemy/Kumokun	TKumokun::calcRootMatrix()	99.974	920	0x178	0x178	0x0	6
mario/Enemy/Koopa	TNerveKoopaTurnL::execute(TSpineBase<TLiveActor>*) const	99.931	408	0x1a8	0x90	0x118	7
mario/Enemy/Koopa	TNerveKoopaTurnR::execute(TSpineBase<TLiveActor>*) const	99.930	400	0x1a0	0x90	0x110	7
mario/Enemy/Koopa	TNerveKoopaTumble::execute(TSpineBase<TLiveActor>*) const	99.888	464	0x78	0x68	0x10	13
mario/Enemy/Koopa	TKoopa::getTargetDir(const JGeometry::TVec3<float>&) const	99.810	252	0xe8	0xc0	0x28	12
mario/Enemy/Koopa	TKoopa::perform(unsigned long, JDrama::TGraphics*)	99.919	1192	0x1f0	0x1a0	0x50	24
mario/Enemy/Kukku	TKukkuBall::init()	99.944	288	0x88	0x88	0x0	4
mario/Enemy/Kukku	TNerveKukkuRecoverGraph::execute(TSpineBase<TLiveActor>*) const	99.956	364	0x58	0x58	0x0	4
mario/Enemy/Amenbo	TAmenbo::bind()	99.962	728	0x48	0x48	0x0	7
mario/Enemy/Amenbo	TAmenbo::control()	99.881	1012	0x88	0x80	0x8	30
mario/Enemy/Amenbo	TNerveAmenboTurn::execute(TSpineBase<TLiveActor>*) const	99.932	704	0x60	0x60	0x0	12
mario/Enemy/BathtubKiller	TBathtubKiller::bind()	99.972	1004	0x90	0x90	0x0	7
mario/Enemy/BathtubKiller	TNerveBathtubKillerBreak::execute(TSpineBase<TLiveActor>*) const	99.944	284	0x30	0x30	0x0	4
mario/Enemy/BathtubKiller	TNerveBathtubKillerExplosion::execute(TSpineBase<TLiveActor>*) const	99.950	320	0x30	0x30	0x0	4
mario/Enemy/coasterkiller	TCoasterEnemy::bind()	99.873	220	0x40	0x40	0x0	7
mario/Enemy/TabePuku	TTabePuku::init(TLiveManager*)	99.954	432	0x48	0x48	0x0	5
mario/Enemy/TabePuku	TNerveTabePukuAttack::execute(TSpineBase<TLiveActor>*) const	99.772	912	0xf8	0xf8	0x0	52
mario/Enemy/limitkoopa	TLimitKoopa::loadAfter()	99.786	1216	0x188	0x168	0x20	65
mario/Enemy/limitkoopa	TLimitKoopa::perform(unsigned long, JDrama::TGraphics*)	99.896	844	0x170	0x118	0x58	22
mario/Enemy/limitkoopa	TLimitKoopa::bind()	99.922	360	0x40	0x40	0x0	7
mario/Enemy/limitkoopajr	TLimitKoopaJr::moveRun()	99.575	932	0x118	0x100	0x18	99
mario/Enemy/limitkoopajr	TNerveLimitKoopaJrRun::execute(TSpineBase<TLiveActor>*) const	99.802	424	0x60	0x68	-0x8	21
