caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
0	mario/Enemy/BossHanachanAnm	setTumbleBckRate___13TBossHanachanFP22TBossHanachanPartsBase	180	176	4	
0	mario/Enemy/DebuTelesa	emitEffects__11TDebuTelesaFv	268	272	-4	
0	mario/Enemy/Kazekun	setVisible__8TKazekunFb	44	76	-32	
0	mario/Enemy/Kazekun	doAttack__8TKazekunFb	1232	1200	32	
0	mario/Enemy/Koopa	checkMarioWhichSide__6TKoopaFv	432	416	16	
0	mario/Enemy/Koopa	getAnmFrameNext__6TKoopaCFv	52	60	-8	
0	mario/Enemy/Koopa	ignoresMario__6TKoopaCFv	28	32	-4	
0	mario/Enemy/Koopa	endsAnm__6TKoopaCFv	8	60	-52	
0	mario/Enemy/Koopa	stopFlame__6TKoopaFv	536	208	328	
0	mario/Enemy/Kukku	execute__14TNerveKukkuHitCFP24TSpineBase<10TLiveActor>	240	252	-12	
0	mario/Enemy/Kukku	getWaterPowerY__6TKukkuCFv	48	56	-8	
0	mario/Enemy/Kukku	isDying__6TKukkuCFv	84	76	8	
0	mario/Enemy/Kukku	shotBall__6TKukkuFv	496	524	-28	
0	mario/Enemy/Kukku	doHabataki__6TKukkuFv	220	216	4	
0	mario/Enemy/Kukku	doRecoverToCurPathNode__6TKukkuFv	104	160	-56	
0	mario/Enemy/Kukku	getUnusedItem__14TEnemyCoinUnitFv	64	72	-8	
0	mario/Enemy/Kukku	init__14TEnemyCoinUnitFv	172	168	4	
0	mario/Enemy/Kukku	__ct__14TEnemyCoinUnitFi	60	68	-8	
0	mario/Enemy/Kumokun	isCrashing__8TKumokunCFv	4	76	-72	
0	mario/Enemy/Kumokun	decideTargetOnGraph__8TKumokunFv	4	740	-736	
0	mario/Enemy/Kumokun	decideTarget__8TKumokunFv	856	852	4	
0	mario/Enemy/Kumokun	keepDistance__8TKumokunFRC9THitActor	4	368	-364	
0	mario/Enemy/Kumokun	updateAnimation__8TKumokunFv	408	412	-4	
0	mario/Enemy/Kumokun	calcShadowPos__8TKumokunFv	4	68	-64	
0	mario/Enemy/TabePuku	doDrag__9TTabePukuFv	292	300	-8	
0	mario/Enemy/TabePuku	prepareDrag__9TTabePukuFv	408	380	28	
